Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)",3.93699,0.08574,2.87577,0.06039,3.55906,0.53413,-0.52696,0.06119,-0.90380,-1.50568,-1.13284,-1.46066,-2.17505,-0.74286,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW30)",2.28437,0.08298,2.85481,0.09614,2.46178,0.29060,-0.18603,-0.75266,-0.64474,-1.50191,-1.17721,-1.79347,-1.74124,-0.51012,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW36)",2.83144,0.09099,3.09155,0.07402,3.10604,0.72405,-0.18039,-0.56421,-1.32440,-1.35620,-1.21927,-1.47269,-2.34637,-0.29445,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24)",3.50869,0.09107,3.07430,0.06294,2.21917,1.64383,-0.45046,0.23818,-0.41275,-0.65951,-1.42379,-2.28282,-1.48533,-1.62002,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26)",3.40025,0.08721,2.93918,0.05781,2.69539,1.27222,0.16740,-0.50010,-0.57594,-0.76197,-1.75756,-1.79769,-1.94003,-1.04806,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",1.83071,0.08644,2.97532,0.09436,2.02447,1.01117,-0.17776,-0.56770,-0.70789,-1.17293,-1.35830,-1.83672,-2.25661,-0.52904,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW36)",3.25672,0.09277,3.16239,0.07359,2.45957,1.49035,-0.31969,-0.44547,-0.86256,-1.03808,-1.45563,-1.71179,-1.77430,-1.24143,-6.71084
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",3.73520,0.08984,3.01361,0.06144,3.59480,0.75639,-0.22135,-0.11676,-1.18206,-1.32578,-1.36859,-1.53365,-2.36539,-0.52306,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW30)",1.53755,0.08527,2.93951,0.10293,2.16385,0.98532,-0.22021,-0.77821,-1.24970,-1.31097,-1.39508,-1.59466,-1.99444,-0.22843,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW36)",3.07068,0.09386,3.19299,0.07801,3.08549,0.94668,-0.34004,-0.25840,-1.79881,-0.79792,-1.39314,-2.09864,-1.70813,-0.54909,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",1.82332,0.08140,2.80213,0.10114,2.08730,1.01223,-0.34442,-0.59278,-1.16684,-1.32987,-1.51011,-1.89023,-1.39411,-0.44552,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW36)",2.31808,0.09079,3.08377,0.07510,2.90563,0.87475,0.37350,-0.62714,-1.82413,-1.61139,-1.16145,-1.18661,-2.63905,-0.07838,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30,ROW36)",1.07292,0.08526,2.94948,0.11236,2.08205,1.07545,-0.49750,-0.66824,-1.63248,-1.50421,-1.19744,-1.88994,-1.54344,0.05326,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW24)",4.29118,0.08720,2.94585,0.06525,2.79445,0.15652,-0.01933,0.51919,-0.53160,-1.37026,-1.37399,-0.63060,-1.93710,-1.85142,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26)",3.88663,0.08117,2.73780,0.06199,2.72912,0.45723,0.18201,-0.23135,-0.73309,-0.84185,-1.63042,-0.96671,-1.63507,-1.55712,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW30)",2.47993,0.08107,2.79329,0.10209,1.92535,0.35211,-0.00071,-0.23984,-0.93938,-1.37537,-1.53034,-1.50664,-0.99028,-1.24367,#N/A
